Customer ID,Product Category,Purchase Amount
9586,home goods,40.46
2548,electronics,206.21
8823,beauty,10.14
9287,home goods,55.38
8786,home goods,51.88
4673,clothing,100.04
4379,clothing,90.2
7094,electronics,218.86
8694,clothing,106.17
3536,electronics,218.04
1802,beauty,7.36
161,electronics,263.14
1184,clothing,102.09
7683,clothing,98.25
4910,electronics,229.04
2149,clothing,117.12
8866,clothing,61.7
4942,clothing,100.53
4670,home goods,39.97
6672,sports,34.76
9173,electronics,202.08
2722,home goods,40.11
7443,sports,28.45
9160,clothing,84.17
2468,clothing,101.8
9298,beauty,8.29
6319,clothing,98.42
9599,clothing,106.86
1814,home goods,46.2
1861,home goods,42.38
9861,electronics,130.74
2033,electronics,146.7
865,electronics,238.58
3809,home goods,53.15
4066,electronics,171.98
2489,sports,33.63
5623,clothing,127.12
7186,beauty,9.8
60,clothing,88.18
314,electronics,208.99
2574,electronics,221.88
8661,clothing,111.23
4633,electronics,247.25
6681,clothing,66.21
9215,clothing,99.33
307,electronics,187.04
8282,electronics,184.94
3980,beauty,9.24
668,home goods,46.56
5922,clothing,100.37
324,electronics,182.71
5285,beauty,11.22
8458,clothing,96.58
7638,sports,29.1
471,beauty,9.38
5994,electronics,179.49
3165,home goods,55.63
5995,clothing,110.02
7598,electronics,224.06
348,electronics,152.49
246,electronics,240.02
4941,clothing,120.71
6717,beauty,10.81
6850,home goods,43.04
8248,sports,22.62
6432,beauty,10.28
2424,beauty,11.64
4971,clothing,111.12
8719,beauty,10.09
2656,clothing,83.28
5224,beauty,9.56
5232,electronics,185.42
3017,home goods,49.71
4415,beauty,10.88
8574,clothing,104.17
6953,beauty,10.43
9274,home goods,47.76
1733,sports,25.76
78,clothing,95.5
4896,clothing,92.85
6532,electronics,237.51
3444,home goods,47.23
6311,beauty,9.81
6149,home goods,67.85
8092,electronics,212.96
115,electronics,178.13
8546,electronics,157.36
1905,beauty,11.74
5407,beauty,10.68
7246,clothing,99.29
561,electronics,251.83
1552,electronics,220.49
350,sports,32.48
4492,sports,35.98
6694,home goods,55.34
6382,clothing,105.02
3585,home goods,48.22
8292,home goods,44.81
6310,electronics,197.05
8570,clothing,110.35
279,home goods,46.13
6660,beauty,9.43
7186,clothing,100.82
1292,beauty,10.68
2503,beauty,10.23
9901,home goods,41.17
7672,electronics,187.96
5658,electronics,178.79
9717,electronics,167.11
8513,electronics,205.5
4692,home goods,61.28
4219,electronics,231.7
9671,beauty,9.41
5461,home goods,38.29
9257,electronics,248.02
9975,clothing,100.6
8942,beauty,10.84
1206,sports,28.64
8107,electronics,188.4
7169,beauty,10.09
323,beauty,10.21
8229,electronics,137.24
663,electronics,180.45
906,beauty,9.48
1030,home goods,34.34
2520,home goods,58.81
6331,beauty,10.35
1957,clothing,65.85
227,clothing,92.78
802,electronics,177.53
6400,electronics,241.71
1208,home goods,29.93
7065,home goods,63.22
5054,beauty,9.16
4815,electronics,196.01
5559,sports,33.09
7799,beauty,9.55
3648,electronics,204.42
7486,electronics,256.52
3011,clothing,89.54
3763,electronics,226.11
1524,home goods,49.53
3790,sports,25.46
6454,beauty,9.08
7724,sports,33.14
8258,electronics,208.98
9465,clothing,85.94
3937,electronics,216.94
3052,electronics,173.31
7,electronics,205.03
4178,home goods,57.83
9961,clothing,74.35
6409,beauty,10.78
3378,beauty,11.34
713,beauty,11.21
7172,clothing,106.99
3130,beauty,9.63
1354,electronics,256.44
1390,beauty,10.51
2740,clothing,106.67
6283,electronics,152.83
8602,beauty,7.46
6831,electronics,203.04
7012,beauty,8.96
9329,electronics,185.71
4088,sports,29.89
5165,clothing,109.19
2108,clothing,102.7
6575,clothing,111.02
3629,home goods,43.28
6481,clothing,82.48
3561,home goods,25.18
4017,clothing,95.86
5509,home goods,42.9
8767,beauty,7.94
1251,beauty,9.16
9825,home goods,65.91
365,clothing,114.21
8625,clothing,118.37
1816,beauty,10.5
7917,electronics,196.36
8252,electronics,177.63
858,clothing,104.63
2562,electronics,172.4
3712,electronics,228.17
8748,beauty,7.65
293,electronics,185.27
1409,electronics,208.64
9567,electronics,215.71
1592,electronics,190.03
1954,clothing,105.88
9470,electronics,171.76
9540,clothing,93.06
3126,clothing,97.15
7092,clothing,77.76
4125,home goods,62.37
9966,home goods,62.94
9804,electronics,193.77
2391,home goods,40.38
3690,sports,24.93
2932,sports,36.84
2610,home goods,65.87
5822,electronics,175.16
2238,beauty,9.64
7987,beauty,9.46
4449,clothing,92.68
9735,electronics,158.03
7888,home goods,45.6
316,clothing,98.22
4147,electronics,226.37
9151,electronics,161.4
4463,home goods,43.02
5493,beauty,10.41
2623,beauty,9.57
5227,electronics,205.05
2937,clothing,104.64
4896,clothing,106.61
1322,electronics,159.72
3211,sports,24.53
7381,electronics,171.66
8190,home goods,61.26
6158,clothing,92.28
2771,electronics,153.26
2448,electronics,212.38
2216,sports,36.47
5838,electronics,174.05
1508,clothing,89.61
1229,electronics,174.21
6451,home goods,40.92
6870,clothing,95.82
6917,clothing,79.07
910,beauty,9.84
7404,electronics,165.26
1664,clothing,92.83
8340,clothing,84.52
2649,sports,39.79
5478,electronics,204.77
2439,beauty,9.25
1732,clothing,95.51
5940,beauty,10.9
4600,home goods,40.33
1697,clothing,90.4
9193,sports,21.56
3159,beauty,8.25
6148,beauty,11.55
9394,sports,36.59
4977,clothing,107.4
7235,clothing,106.57
4253,home goods,54.31
5176,sports,28.97
148,home goods,38.31
4716,clothing,85.7
6471,electronics,166.99
